               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033907,             0.02447,           0.0070201,             0.80182,             0.63867,             0.72075,             0.37051,            0.033288,            0.012304,            0.018719,            0.009307,            0.009307,            0.009307
                  37,            0.033845,            0.024804,            0.006463,             0.74716,             0.70094,             0.72402,             0.37482,            0.032313,            0.011986,            0.011552,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033906,            0.024157,            0.006951,             0.72884,             0.69846,             0.70472,             0.37479,            0.031025,            0.011995,             0.01534,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033167,            0.024561,            0.006378,             0.79617,             0.68396,             0.73824,             0.38262,            0.032479,            0.012429,            0.018294,           0.0092476,           0.0092476,           0.0092476
                  40,            0.033021,            0.023968,           0.0069267,             0.72613,              0.6934,             0.71993,             0.38721,            0.031353,            0.012223,            0.011593,           0.0092278,           0.0092278,           0.0092278
                  41,            0.032986,            0.024309,           0.0062352,             0.82318,             0.75271,             0.78608,             0.41724,            0.029776,            0.012088,            0.008607,            0.009208,            0.009208,            0.009208
                  42,            0.032444,            0.024215,           0.0059086,             0.73812,             0.74437,             0.76512,             0.40751,            0.030193,            0.011953,           0.0082958,           0.0091882,           0.0091882,           0.0091882
                  43,            0.032644,            0.023596,           0.0059711,             0.81275,             0.75629,              0.7865,             0.43623,            0.030936,            0.012871,            0.013704,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032052,            0.024066,           0.0056958,             0.82497,             0.69511,              0.7748,             0.41857,            0.030033,            0.012355,            0.011191,           0.0091486,           0.0091486,           0.0091486
                  45,             0.03167,            0.022878,           0.0056599,             0.81297,             0.70732,             0.76256,             0.41435,            0.031725,            0.013134,            0.010101,           0.0091288,           0.0091288,           0.0091288
                  46,            0.031564,            0.023107,           0.0050878,             0.81117,             0.74305,             0.77363,             0.41202,             0.03129,            0.012674,           0.0070766,            0.009109,            0.009109,            0.009109
                  47,            0.032094,            0.023191,           0.0057213,             0.73263,             0.72999,             0.73598,             0.39354,            0.029877,            0.013002,           0.0086632,           0.0090892,           0.0090892,           0.0090892
                  48,            0.031328,            0.023459,           0.0055259,             0.77941,             0.74528,             0.76969,             0.42285,            0.030034,            0.012782,            0.011604,           0.0090694,           0.0090694,           0.0090694
                  49,            0.031085,            0.022927,           0.0056403,             0.77216,             0.73821,             0.76218,             0.43579,             0.02933,            0.012259,           0.0087408,           0.0090496,           0.0090496,           0.0090496
                  50,             0.03119,            0.022646,           0.0058805,             0.83123,             0.64458,               0.743,             0.41195,            0.031688,             0.01263,            0.017096,           0.0090298,           0.0090298,           0.0090298
                  51,            0.030879,            0.022723,           0.0053601,             0.79952,             0.71315,             0.77075,             0.41574,            0.031469,            0.012616,            0.010299,             0.00901,             0.00901,             0.00901
                  52,            0.030814,            0.022598,           0.0053485,             0.81606,             0.67625,              0.7332,             0.41247,            0.032999,            0.012856,            0.013266,           0.0089902,           0.0089902,           0.0089902
                  53,            0.031324,            0.022126,           0.0051659,             0.79999,              0.7503,             0.76712,             0.43236,            0.032392,            0.012768,           0.0092218,           0.0089704,           0.0089704,           0.0089704
                  54,            0.030827,            0.022146,           0.0053958,             0.81238,             0.70283,             0.73407,             0.39789,            0.031388,            0.013612,            0.010927,           0.0089506,           0.0089506,           0.0089506
                  55,            0.030045,            0.022091,           0.0054423,             0.81338,             0.70146,             0.76291,             0.42839,            0.032056,            0.013282,            0.011563,           0.0089308,           0.0089308,           0.0089308
                  56,            0.030374,            0.022015,           0.0049867,             0.81644,             0.69811,             0.75506,             0.41124,            0.031329,            0.013409,           0.0092621,            0.008911,            0.008911,            0.008911
                  57,            0.030021,            0.021838,           0.0053658,             0.79156,             0.71322,             0.75118,             0.41703,            0.030613,             0.01254,            0.010438,           0.0088912,           0.0088912,           0.0088912
                  58,            0.030051,            0.022175,           0.0052467,             0.76239,             0.67217,             0.73368,             0.41213,            0.032261,            0.014008,            0.015896,           0.0088714,           0.0088714,           0.0088714
                  59,             0.03027,             0.02239,           0.0054538,             0.83722,             0.64858,              0.7464,             0.42243,            0.031793,            0.013452,             0.01873,           0.0088516,           0.0088516,           0.0088516
                  60,             0.02983,              0.0222,           0.0048907,             0.79873,             0.73027,             0.76283,             0.41471,            0.031072,            0.012932,            0.011367,           0.0088318,           0.0088318,           0.0088318
                  61,            0.029509,            0.021984,           0.0051439,             0.82653,             0.70519,             0.77581,              0.4292,            0.031622,            0.013445,            0.014776,            0.008812,            0.008812,            0.008812
                  62,            0.029416,            0.022359,           0.0047817,             0.84015,              0.7094,             0.77663,              0.4213,            0.032507,             0.01299,            0.011454,           0.0087922,           0.0087922,           0.0087922
                  63,             0.02912,            0.021067,           0.0046421,             0.82335,             0.69887,             0.76425,             0.41898,            0.033047,            0.012951,            0.014436,           0.0087724,           0.0087724,           0.0087724
                  64,            0.029193,              0.0217,            0.004768,             0.82307,             0.72534,             0.78065,             0.44311,               0.031,            0.012544,            0.016493,           0.0087526,           0.0087526,           0.0087526
                  65,            0.029297,            0.021692,           0.0046998,             0.77137,             0.68625,             0.72195,             0.38894,            0.031233,            0.013514,            0.013367,           0.0087328,           0.0087328,           0.0087328
                  66,            0.028615,            0.020472,           0.0043691,             0.77418,              0.7306,             0.76409,             0.42609,            0.032065,            0.013659,           0.0081703,            0.008713,            0.008713,            0.008713
                  67,             0.02874,            0.021382,           0.0046538,             0.81276,             0.69854,             0.76238,             0.42924,            0.031482,            0.013094,            0.013848,           0.0086932,           0.0086932,           0.0086932
                  68,            0.028636,            0.021276,            0.004704,              0.7909,             0.71165,             0.77125,             0.43895,            0.029997,            0.012779,           0.0092825,           0.0086734,           0.0086734,           0.0086734
                  69,            0.028192,            0.021011,           0.0043708,             0.76686,             0.73585,             0.77679,             0.44426,            0.031366,            0.013042,           0.0092595,           0.0086536,           0.0086536,           0.0086536
                  70,            0.028483,            0.020746,           0.0039588,             0.86639,             0.70591,             0.79543,             0.45076,            0.031922,            0.012789,            0.013868,           0.0086338,           0.0086338,           0.0086338
                  71,            0.027619,            0.020482,           0.0042939,             0.82689,             0.74057,             0.80323,             0.46281,            0.031035,            0.013217,            0.011822,            0.008614,            0.008614,            0.008614
                  72,            0.027929,            0.020522,             0.00411,             0.84205,             0.71646,             0.76903,             0.44151,            0.032001,            0.014058,            0.011616,           0.0085942,           0.0085942,           0.0085942
                  73,             0.02797,            0.020132,           0.0039938,             0.85716,             0.70755,             0.78361,             0.44486,            0.032042,            0.013744,            0.014898,           0.0085744,           0.0085744,           0.0085744
                  74,            0.028067,            0.020566,            0.004309,             0.82358,             0.69634,             0.73325,             0.40748,            0.032363,            0.013624,             0.01806,           0.0085546,           0.0085546,           0.0085546
                  75,            0.027889,            0.020089,           0.0039971,             0.83554,             0.69987,             0.75711,             0.41039,            0.031235,            0.013687,            0.011882,           0.0085348,           0.0085348,           0.0085348
                  76,            0.028172,            0.020752,           0.0048159,             0.81344,              0.7298,             0.76811,             0.43263,            0.031208,            0.013337,            0.013989,            0.008515,            0.008515,            0.008515
                  77,            0.027925,            0.020266,           0.0045169,             0.86847,             0.71216,             0.80183,             0.43736,            0.031118,            0.012972,            0.011994,           0.0084952,           0.0084952,           0.0084952
                  78,            0.027524,            0.019836,            0.004152,             0.91648,             0.68505,             0.79046,             0.44334,            0.031546,            0.013369,            0.013258,           0.0084754,           0.0084754,           0.0084754
                  79,            0.027467,            0.019675,           0.0038704,             0.85662,             0.71931,             0.78549,             0.45807,            0.030685,            0.013326,            0.011411,           0.0084556,           0.0084556,           0.0084556
                  80,            0.027024,            0.019841,           0.0036922,             0.86382,             0.69046,             0.77038,             0.43462,             0.03106,            0.014134,            0.012462,           0.0084358,           0.0084358,           0.0084358
                  81,            0.027217,            0.020274,           0.0037341,             0.84794,             0.74333,             0.79968,               0.465,            0.031268,            0.013878,           0.0098704,            0.008416,            0.008416,            0.008416
                  82,            0.026971,            0.019992,           0.0035942,             0.86853,             0.69445,             0.76312,             0.43017,            0.032556,             0.01395,            0.013762,           0.0083962,           0.0083962,           0.0083962
                  83,            0.026911,             0.01997,           0.0034149,             0.85641,             0.64177,             0.74595,             0.42629,            0.032874,             0.01445,            0.013552,           0.0083764,           0.0083764,           0.0083764
                  84,            0.026814,            0.019676,           0.0037934,             0.83015,              0.7348,             0.78724,             0.44483,             0.03152,            0.013596,             0.01373,           0.0083566,           0.0083566,           0.0083566
                  85,            0.026701,            0.019848,           0.0040276,             0.80748,             0.72573,             0.76436,             0.42947,            0.031316,            0.014262,            0.012361,           0.0083368,           0.0083368,           0.0083368
                  86,            0.027089,            0.019559,            0.003882,             0.80228,             0.66295,             0.73148,              0.4206,            0.032655,            0.014752,            0.013503,            0.008317,            0.008317,            0.008317
                  87,             0.02704,             0.01943,           0.0038302,             0.85533,             0.69254,             0.75302,             0.43249,            0.031952,            0.013967,            0.011583,           0.0082972,           0.0082972,           0.0082972
                  88,             0.02633,            0.019582,            0.003298,             0.80004,             0.66981,             0.72287,             0.40213,            0.031746,            0.014215,            0.016104,           0.0082774,           0.0082774,           0.0082774
                  89,            0.026072,            0.019371,            0.003713,             0.86869,             0.73882,             0.78949,             0.44684,            0.030828,            0.012952,           0.0098763,           0.0082576,           0.0082576,           0.0082576
                  90,            0.026327,            0.019272,           0.0033978,             0.86929,               0.723,             0.77614,              0.4514,             0.03171,            0.013946,            0.014448,           0.0082378,           0.0082378,           0.0082378
